Name,Release_Date,Genre,Cast,Duration,Country,IMDB
City of Vultures 3,7/4/2022,Thriller,"Zamien'Az-Is'Shearer,HarperAnthony,KennethArnette,ValaunBaldwin,DavidBianco",83,UnitedStatesofAmerica,5.5
Burden,7/4/2022,Drama,"MariaCorinaRamirez,MarialejandraMartin,NathaliaLares,FernandoIvosky,",96,UnitedStatesofAmerica,5.9
Bridges,3/7/2021,Drama,"MariaCorinaRamirez,MarialejandraMartin,FernandoYvosky,NathaliaLares,JulissaCalderon",72,UnitedStatesofAmerica,4.7
Brian and Charles,6/17/2022,"ScienceFiction,Comedy","LouiseBrealey,DavidEarl,JamieMichie,NinaSosanya,SunilPatel",90,UnitedKingdom,6.7
Block Party,6/8/2022,Comedy,"MargaretAvery,AntoinetteRobertson,GaryAnthonyWilliams,Luenell,GoldenBrooks",90,UnitedStatesofAmerica,5.9
Birdies,2/22/2022,Comedy,"SydneyPenny,RyanO'Flanagan,DevinMcGee,NatePanning,MadisonMoss",105,UnitedStatesofAmerica,4.5
Bigfoot or Bust,7/5/2022,Comedy,"MelissaBrasselle,GailHarris,LisaLondon,ChristineNguyen,BeckyLeBeau",87,UnitedStatesofAmerica,2.3
Best Years Gone,9/18/2021,"Comedy,Drama","ErikaHoveland,TerenceKnox,ShaneHagedorn,DJPerry,VictoriaJackson",94,UnitedStatesofAmerica,4.6
American Werewolves,7/5/2022,N/A,"ShaneGrove,",81,UnitedStatesofAmerica,5.1
3 Demons,7/5/2022,Horror,"SherrylDespres,HaleyHeslip,PeterTell,",97,UnitedStatesofAmerica,4
11th Hour Cleaning,7/5/2022,Horror,"ChloeBrooks,J.Kristopher,EdwardFinlay,AnitaLeemanTorres,EdMorrone",73,UnitedStatesofAmerica,3.6
The Princess,6/16/2022,"Drama,Fantasy,Action","JoeyKing,NgôThanhVân,DominicCooper,IvoArakov,OlgaKurylenko",94,"Bulgaria,UnitedStatesofAmerica",5.5
Code Name Banshee,7/1/2022,"Action,Thriller","JaimeKing,AntonioBanderas,TommyFlanagan,WaynePyle,CatherineDavis",93,N/A,3.4
Rubikon,7/1/2022,"Thriller,ScienceFiction","JuliaFranzRichter,MarkIvanir,JonasEmilianGerzabek,NicholasMonu,LupoGrujcic",110,Austria,4.7
Hot Seat,7/1/2022,"Action,Thriller","MelGibson,KevinDillon,ShannenDoherty,AnnaHarr,SamAsghari",87,UnitedStatesofAmerica,4.5
The Sixth Secret,4/30/2022,"Crime,Mystery","EhaUrbsalu,TriinLellep,GregoryDefleur,BenWalton-Jones,SiretTuula",90,Estonia,5.6
The Real Derry: Jamie-Lee O'Donnell,6/16/2022,Documentary,"BronaghGallagher,Saoirse-MonicaJackson,JamieLeeO'Donnell,DanStarkey,PatriciaMoore",45,"Ireland,UnitedKingdom",7
Terror on the Prairie,6/14/2022,"Western,Thriller,Action","DonaldCerrone,SamaireArmstrong,GinaCarano,NickSearcy,MatthiasHues",107,UnitedStatesofAmerica,5.7
Nobody's Hero,3/2/2022,"Drama,Comedy","DoriaTillier,NoémieLvovsky,RenaudRutten,PatrickLigardes,Jean-CharlesClichet",100,France,6.3
Naked Mole Rat Gets Dressed: The Underground Rock Experience,6/30/2022,"Animation,Family","JordanFisher,YvetteNicoleBrown,KateMicucci,KevinMichaelRichardson,CarolKane",55,UnitedStatesofAmerica,7.7
GoldenEra,6/27/2022,Documentary,"StuartAshen,KarlHilton,DavidDoak,DanRyckert,RobertBowling",99,Australia,6.8
Beauty,6/11/2022,"Drama,Romance,Music","GracieMarieBradley,NiecyNash,AleyseShannon,JamesUrbaniak,SharonStone",95,UnitedStatesofAmerica,3.9
The Monopoly of Violence,9/30/2020,Documentary,"AriéAlimi,MyriamAyad,TahaBouhafs,WilliamBourdon,LudivineBantigny",86,France,7.3
The Naked Jungle,3/3/1954,"Adventure,Drama,Action,Romance","AbrahamSofaer,CharltonHeston,WilliamConrad,EleanorParker,DouglasFowley",95,UnitedStatesofAmerica,6.7
The Lighthorsemen,9/10/1987,"History,War,Drama","ShaneBriant,GarySweet,SergeLazareff,TonyBonner,PatrickFrost",131,Australia,6.8
The Charge of the Light Brigade,4/10/1968,"History,Drama","HowardMarion-Crawford,ChrisChittell,GeorgesDouking,AlanDobie,AndrewFaulds",139,UnitedKingdom,6.6
The Boy Friend,12/16/1971,"Romance,Comedy,Music","Twiggy,MaxAdrian,BryanPringle,ChristopherGable,GeorginaHale",137,"UnitedKingdom,UnitedStatesofAmerica",6.8
Red Angel,10/1/1966,"Drama,War,Romance,History","ShinsukeAshida,RankoAkagi,YûsukeKawazu,KenichiTani,AyakoWakao",95,Japan,7.8
Crocodile Island,2/4/2020,"Fantasy,Action,Adventure,Thriller","HeQiwei,GallenLo,WangBingxiang,ZhaoZuo,DangWei",86,China,3.9
In the Family,11/4/2011,Drama,"TrevorSt.John,LisaAltomare,ConanMcCarty,HarriettD.Foy,ZacharySayle",169,UnitedStatesofAmerica,7.1
Exhibition on Screen: The Artist’s Garden - American Impressionism,3/26/2017,Documentary,"GillianAnderson,",90,UnitedKingdom,7.5
Michelangelo: Love and Death,6/13/2017,Documentary,N/A,90,UnitedKingdom,7.7
Cézanne: Portraits of a Life,1/23/2018,Documentary,N/A,86,UnitedKingdom,7
Exhibition on Screen: Canaletto &amp; the Art of Venice,9/26/2017,"History,Documentary",N/A,85,UnitedKingdom,7.2
Executioners from Shaolin,2/16/1977,Action,"YueWong,ChenKuan-Tai,LoLieh,DaveWongKit,TinChing",98,HongKong,6.9
Death of Nintendo,2/22/2020,"Drama,Comedy","AgotIsidro,JohnVincentServilla,MailesKanapi,NoelComiaJr.,NikkiValdez",99,"UnitedStatesofAmerica,Philippines",5.7
Daydream of Love,9/6/1980,Drama,"YukiKazamatsuri,KyokoAoyama,YokoHatanaka,AnriNishimoto,SumireNoguchi",62,Japan,3.9
Damnation,10/20/1988,"Drama,Crime","MiklósSzékelyB.,GyörgyCserhalmi,TemessyHédi,GyulaPauer,ValiKerekes",116,Hungary,7.7
Comrades,8/23/1987,Drama,"RobinSoans,AlexNorton,RobertStephens,WilliamGaminara,FreddieJones",183,UnitedKingdom,7.3
Company,6/15/2011,"Drama,Comedy","StephenColbert,NeilPatrickHarris,JillPaice,JonCryer,PattiLuPone",145,UnitedStatesofAmerica,7.7
Cast a Giant Shadow,3/30/1966,War,"JamesDonald,SentaBerger,KirkDouglas,GordonJackson,JohnWayne",146,UnitedStatesofAmerica,6.3
Bound for Glory,12/5/1976,"Drama,Music","TedGehring,LeeMcLaughlin,MaryKayPlace,JanBurrell,TaniGuthrie",147,UnitedStatesofAmerica,7.3
Blanche,1/26/1972,"History,Drama","MichelSimon,GeorgesWilson,JacquesPerrin,DenisePéronne,LawrenceTrimble",94,France,6.6
Ayn Rand: A Sense of Life,2/13/1998,Documentary,"SharonGless,MichaelS.Berliner,HarryBinswanger,SylviaBokor,",145,UnitedStatesofAmerica,6.5
Aerial Ireland,1/9/2017,Documentary,"EricMeyers,",48,"Ireland,UnitedStatesofAmerica",8
Sailor Suit and Machine Gun,12/19/1981,"Crime,Action,Drama","RentarôMikuni,ShingoYanagisawa,TsunehikoWatase,MasaakiDaimon,YukiKazamatsuri",112,Japan,6.3
Orders to Kill,7/25/1958,"Thriller,War,Drama","PaulMassie,EddieAlbert,JohnCrawford,LillianGish,LionelJeffries",112,UnitedKingdom,7.1
Olympia,11/11/2018,Documentary,"OlympiaDukakis,LauraLinney,WhoopiGoldberg,DianeLadd,LainieKazan",101,UnitedStatesofAmerica,7.8
Nightfire,5/1/2020,"Action,Thriller","FrancescoPannofino,DylanBaker,BradleyStryker,LorenzoPisoni,BeckyAnnBaker",43,UnitedStatesofAmerica,5.6
Night of the Demon,2/4/1980,Horror,"MichaelCutt,PaulKelleher,LynnEastman-Rossi,MichaelLang,BobCollins",97,UnitedStatesofAmerica,4.6
Minnesota Clay,11/12/1964,"Action,War,Western,Romance","CameronMitchell,AntonioCasas,FernandoSancho,FerdinandoPoggi,JoséCanalejas",90,"Spain,Italy,France",6
Menarche,10/1/2020,"Drama,Fantasy","AldoBueno,AmandaYamamoto,NathallyFonseca,AmandaDourado,MichelineLemos",22,Brazil,6
Man of La Mancha,12/20/1972,"Music,Comedy,Adventure,Drama","MarneMaitland,PeterO'Toole,JamesCoco,IanRichardson,RosalieCrutchley",132,"UnitedStatesofAmerica,Italy",6.5
Le Sourire,8/17/1994,"Comedy,Drama","BernardVerley,NadiaBarentin,Jean-PierreMarielle,ChantalBanlier,RichardBohringer",85,France,5.5
"Krakatoa, East of Java",12/26/1968,"Action,Adventure,Drama,Thriller","MaximilianSchell,DianeBaker,BarbaraWerle,BrianKeith,SalMineo",131,"Italy,UnitedStatesofAmerica",5.4
Four Around the Woman,2/3/1921,Drama,"LudwigHartau,RobertForster-Larrinaga,RudolfKlein-Rogge,GottfriedHuppertz,PaulMorgan",85,Germany,5.9
Blasted,6/22/2022,"Comedy,ScienceFiction","FredrikSkogsrud,AxelBøyum,TrimBalaj,IngridBolsøBerdal,AndréSørum",114,Norway,4.8
Cristela Alonzo: Middle Classy,6/28/2022,Comedy,"CristelaAlonzo,",60,N/A,6.7
Endangered,6/12/2022,Documentary,N/A,90,UnitedStatesofAmerica,6.2
